Transaction_ID,Date,Category,Subcategory,Description,Amount,Type,Payment_Method,Merchant,City
TXN00238,2025-01-01,Entertainment,Movies,Movies,1055.27,Expense,Credit Card,Steam,Delhi
TXN00479,2025-01-01,Freelance,Project Income,Project Income,48255.22,Income,UPI,Company Bonus,Pune
TXN00756,2025-01-01,Bonus,Performance Bonus,Performance Bonus,48440.92,Income,Credit Card,Bank,Pune
TXN01102,2025-01-01,Investments,Mutual Fund,Mutual Fund,5188.98,Expense,Credit Card,HDFC Securities,Delhi
TXN01300,2025-01-01,Food,Restaurant,Restaurant,287.21,Expense,Cash,Swiggy,Bengaluru
TXN00814,2025-01-02,Shopping,Clothing,Clothing,649.77,Expense,Cash,Croma,Bengaluru
TXN00966,2025-01-02,Travel,Hotel,Hotel,6318.62,Expense,Bank Transfer,OYO,Bengaluru
TXN01168,2025-01-02,Investments,FD,FD,5541.28,Expense,Debit Card,SBI,Hyderabad
TXN00245,2025-01-03,Investments,Stocks,Stocks,18969.15,Expense,Bank Transfer,Zerodha,Pune
TXN00151,2025-01-04,Salary,Monthly Salary,Monthly Salary,28633.84,Income,Debit Card,Employer,Delhi
TXN01271,2025-01-04,Shopping,Electronics,Electronics,433.03,Expense,Cash,Myntra,Mumbai
TXN01497,2025-01-04,Shopping,Personal Care,Personal Care,2223.48,Expense,Credit Card,Flipkart,Nagpur
TXN00623,2025-01-05,Transport,Public Transport,Public Transport,459.93,Expense,Cash,Indian Oil,Nagpur
TXN01059,2025-01-06,Bills,Electricity,Electricity,1056.52,Expense,Cash,Jio,Nagpur
TXN01004,2025-01-07,Food,Groceries,Groceries,140.58,Expense,Bank Transfer,Reliance Fresh,Pune
TXN01025,2025-01-07,Bonus,Performance Bonus,Performance Bonus,29680.7,Income,Credit Card,Company Bonus,Nagpur
TXN01320,2025-01-08,Food,Food Delivery,Food Delivery,1636.17,Expense,UPI,Swiggy,Mumbai
TXN01358,2025-01-08,Health,Fitness,Fitness,1527.47,Expense,Cash,Local Clinic,Pune
TXN00070,2025-01-09,Bills,Electricity,Electricity,385.96,Expense,Bank Transfer,Airtel,Pune
TXN00213,2025-01-09,Food,Food Delivery,Food Delivery,980.0,Expense,Credit Card,Swiggy,Bengaluru
TXN00930,2025-01-09,Food,Groceries,Groceries,308.04,Expense,Credit Card,Zomato,Hyderabad
TXN01019,2025-01-09,Food,Restaurant,Restaurant,275.26,Expense,Bank Transfer,Swiggy,Pune
TXN00083,2025-01-10,Education,Course,Course,543.7,Expense,UPI,Udemy,Delhi
